Name,rankings
Kevin McGonigle,DET
Colton Cowser,BAL
Luis García Jr.,WSN
Andrew Vaughn,MIL
Grayson Rodriguez,LAA
Braxton Ashcraft,PIT
Logan Henderson,MIL
Miguel Vargas,CHW
Mike Burrows,HOU
Luis Gil,NYY
Mickey Moniak,COL
Joey Cantillo,CLE
Evan Carter,TEX
Casey Mize,DET
Justin Crawford,PHI
Jasson Domínguez,NYY
Mark Vientos,NYM
Chase DeLauter,CLE
Spencer Schwellenbach,ATL
Ryan O'Hearn,PIT
Tyler Stephenson,CIN
Clay Holmes,NYM
Rhett Lowder,CIN
Liam Hicks,MIA
Oswaldo Cabrera,NYY
David Fry,CLE
Angel Martínez,CLE
Tre' Morgan,TBR
Jared Serna,MIA
Miles Mikolas,WSN
Kyren Paris,LAA
Shay Whitcomb,HOU
Aaron Civale,ATH
Bryce Elder,ATL
Carmen Mlodzinski,PIT
J.T. Ginn,ATH
Hunter Harvey,CHC
Jorge Alfaro,KCR
Kyle Leahy,STL
Orion Kerkering,PHI
Robert Gasser,MIL
Drew Anderson,DET
Randy Vásquez,SDP
Brandon Lockridge,MIL
Eli White,ATL
Bryce Teodosio,LAA
Joey Loperfido,HOU
Miles Mastrobuoni,SEA
Jahmai Jones,DET
Korey Lee,CHW
Tyrone Taylor,NYM
Jorbit Vivas,NYY
Mason McCoy,SDP
Elias Díaz,KCR
Robert Hassell III,WSN
Johnathan Rodríguez,CLE
Joey Wiemer,WSN
Tristan Gray,MIN
Mike Tauchman,NYM
Kyle Farmer,ATL
Chas McCormick,CHC
Carlos Cortes,ATH
Taylor Trammell,HOU
Ryan Feltner,COL
Kumar Rocker,TEX
Davis Martin,CHW
Steven Matz,TBR
Jhostynxon Garcia,PIT
Braden Montgomery,CHW
Jace Jung,DET
Andre Pallante,STL
Willie MacIver,TEX
Isiah Kiner-Falefa,BOS
Hunter Barco,PIT
Shane McGuire,ATH
Nick Madrigal,LAA
Tanner Murray,CHW
Liover Peguero,PHI
Tyler Locklear,ARI
Ildemaro Vargas,ARI
Darell Hernaiz,ATH
Joshua Báez,STL
Randal Grichuk,NYY
Yanquiel Fernández,NYY
Jose Siri,LAA
Jose Quintana,COL
Andrés Chaparro,WSN
Anthony Kay,CHW
Logan Allen,CLE
Jacob Latz,TEX
Michael Lorenzen,COL
Patrick Sandoval,BOS
Chris Paddack,MIA
Myles Straw,TOR
Nate Eaton,BOS
Gabriel Rincones Jr.,PHI
Ronny Mauricio,NYM
Dylan Carlson,CHC
Vidal Bruján,NYM
Richie Palacios,TBR
Bryan Torres,STL
Jhonny Pereda,SEA
Chris Taylor,LAA
Gio Urshela,MIN
DJ LeMahieu,
Endy Rodríguez,PIT
Brett Sullivan,COL
Edwin Arroyo,CIN
Alika Williams,PIT
Yohandy Morales,WSN
Kahlil Watson,CLE
Drew Romo,CHW
LaMonte Wade Jr.,CHW
César Prieto,STL
Jorge Barrosa,ARI
Gabriel Arias,CLE
Luis Campusano,SDP
Andruw Monasterio,BOS
Kyle Higashioka,TEX
Manuel Margot,
Sterlin Thompson,COL
Chadwick Tromp,ATL
Brayan Rocchio,CLE
Juan Yepez,TOR
Jacob Stallings,BAL
Adael Amador,COL
Tirso Ornelas,SDP
Austin Martin,MIN
Justin Foscue,TEX
Matt Mervis,WSN
Mark Canha,TEX
Tristan Peters,CHW
Bryce Johnson,SDP
Tommy Pham,
Garrett Mitchell,MIL
Curtis Mead,CHW
A.J. Vukovich,ARI
Joe Mack,MIA
Luke Williams,ATL
Jack Suwinski,LAD
Jose Miranda,SDP
Ben Gamel,ATL
Adrian Del Castillo,ARI
Alex Verdugo,SDP
Gabriel Gonzalez,MIN
Ji Hwan Bae,NYM
Justin Dean,CHC
Heriberto Hernández,MIA
Eric Haase,SFG
Victor Mesa Jr.,TBR
Jeferson Quero,MIL
Tim Anderson,
Nathaniel Lowe,CIN
Brendan Rodgers,BOS
Esmerlyn Valdez,PIT
Will Banfield,CIN
Jonah Bride,TEX
Maximo Acosta,MIA
Blake Dunn,CIN
Tyler Tolbert,KCR
Will Brennan,SFG
Josh Rojas,KCR
Riley Adams,WSN
Michael Siani,LAD
Nelson Rada,LAA
Jonatan Clase,TOR
Nick Gonzales,PIT
Zach Dezenzo,HOU
Juan Brito,CLE
Niko Kavadas,LAA
DaShawn Keirsey Jr.,ATL
Gustavo Campero,LAA
Matthew Lugo,LAA
Joey Meneses,ATH
Mickey Gasper,BOS
Henry Davis,PIT
Austin Slater,DET
Austin Barnes,NYM
Jacob Young,WSN
James Triantos,CHC
Hunter Dobbins,STL
Michael Soroka,ARI
Brad Lord,WSN
Max Schuemann,NYY
Alex Jackson,MIN
Jesse Winker,
Jon Berti,
Janson Junk,MIA
Kyle Freeland,COL
Jake Bauers,MIL
Drew Gilbert,SFG
Jhonkensy Noel,BAL
Nathan Lukes,TOR
Bryan De La Cruz,PHI
Christopher Morel,MIA
Nacho Alvarez Jr.,ATL
James McCann,ARI
Masataka Yoshida,BOS
JP Sears,SDP
José Leclerc,
Jorge Mateo,ATL
Amed Rosario,NYY
Zack Gelof,ATH
Warming Bernabel,WSN
Sung-Mun Song,SDP
Dylan Moore,PHI
Will Benson,CIN
Andrew McCutchen,TEX
Leo Rivas,SEA
Braxton Fulford,COL
Ramón Urías,STL
Connor Joe,SEA
Colby Thomas,ATH
Kyle Karros,COL
David Hamilton,MIL
Will Wagner,SDP
Akil Baddoo,MIL
Esteury Ruiz,MIA
Tomás Nido,DET
Ben Brown,CHC
Jake Rogers,DET
Connor Wong,BOS
Luis Torrens,NYM
Gary Sánchez,MIL
Kyle Isbel,KCR
Sam Antonacci,CHW
Foster Griffin,WSN
Nick Sogard,BOS
Aidan Miller,PHI
Carlos Santana,ARI
Andrew Kittredge,BAL
Justyn-Henry Malloy,TBR
Adrian Houser,SFG
Edmundo Sosa,PHI
Abimelec Ortiz,WSN
Wade Meckler,LAA
Johan Rojas,PHI
Joey Bart,PIT
Otto Kemp,PHI
Taijuan Walker,PHI
Alexis Díaz,TEX
Davis Schneider,TOR
Bobby Miller,LAD
Michael McGreevy,STL
Hunter Strickland,LAA
Jack Dreyer,LAD
Alek Thomas,ARI
Pedro Pagés,STL
Gavin Lux,TBR
Gregory Soto,PIT
Brandon Sproat,MIL
Eric Wagaman,MIN
Sean Burke,CHW
Stuart Fairchild,CLE
Romy Gonzalez,BOS
Carson Williams,TBR
Heston Kjerstad,BAL
Joe Boyle,TBR
Casey Schmitt,SFG
Mitch Spence,KCR
Leo De Vries,ATH
Ryan Clifford,NYM
Tyler Wells,BAL
Danny Jansen,TEX
Carlos Rodriguez,MIL
Drew Waters,KCR
Rece Hinds,CIN
Brooks Baldwin,CHW
Alex Freeland,LAD
Kameron Misner,KCR
Orlando Arcia,MIN
Thairo Estrada,BAL
Leody Taveras,BAL
Dom Keegan,TBR
Derek Hill,CHW
Austin Hedges,CLE
Ryan Kreidler,MIN
Abraham Toro,KCR
George Valera,CLE
Luke Maile,KCR
César Salazar,HOU
Nick Loftin,KCR
Christian Vázquez,HOU
Ryan Mountcastle,BAL
J.C. Escarra,NYY
Kyle McCann,COL
Travis d'Arnaud,LAA
Tom Murphy,
José Tena,WSN
Ryan Bliss,SEA
Tyler Austin,CHC
Ezequiel Duran,TEX
Tommy Troy,ARI
Starling Marte,KCR
Mitch Garver,SEA
Brandon Valenzuela,TOR
Reese McGuire,MIL
Denzer Guzman,LAA
Max Kepler,
Andrew Knizner,SEA
James Outman,MIN
Daniel Schneemann,CLE
Ben Williamson,TBR
Alex Call,LAD
Nick Fortes,TBR
Sam Haggerty,TEX
Jeremiah Jackson,BAL
Tyler Heineman,TOR
Vaughn Grissom,LAA
Dane Myers,CIN
Ryan Ritter,COL
Jonah Heim,ATL
Jose Trevino,CIN
Oswald Peraza,LAA
Ben Rortvedt,NYM
Austin Wynns,ATH
Santiago Espinal,LAD
Ty France,SDP
Donovan Solano,
Michael Massey,KCR
JJ Bleday,CIN
Kevin Newman,KCR
Christian Franklin,WSN
Cavan Biggio,HOU
Dustin Harris,CHW
Pavin Smith,ARI
Leo Jiménez,TOR
Cody Freeman,TEX
Jett Williams,MIL
Jacob Melton,TBR
Luis Urías,ARI
Brett Wisely,ATL
Everson Pereira,CHW
Nick Yorke,PIT
Alejandro Osuna,TEX
Nathan Church,STL
Michael Helman,TEX
CJ Kayfus,CLE
Trey Sweeney,DET
Daniel Susac,SFG
Brett Harris,ATH
Tyler Callihan,PIT
Jose Iglesias,
Tim Tawa,ARI
Christian Koss,SFG
Zach Agnos,COL
