Name,auction_value,Position
Samuel Escudero,-inf,Hitter
Javier Herrera,-inf,Hitter
Eriel Dihigo,-inf,Hitter
Brandon Winokur,-inf,Hitter
Javier Francisco,-inf,Hitter
Maddux Houghton,-inf,Hitter
Will Bush,-inf,Hitter
Braylon Bishop,-inf,Hitter
Alec Makarewicz,-inf,Hitter
Luis Cova,-inf,Hitter
Shalin Polanco,-inf,Hitter
Joe Vetrano,-inf,Hitter
Colin Davis,-inf,Hitter
Karim Ayubi,-inf,Hitter
Jesus Galiz,-inf,Hitter
Ricardo Rosario,-inf,Hitter
Wooyeoul Shin,-inf,Hitter
Ryan Spikes,-inf,Hitter
Alfredo Velásquez,-inf,Hitter
Alfonsin Rosario,-inf,Hitter
Justin Miknis,-inf,Hitter
Jesus Made,-inf,Hitter
Cameron Decker,-inf,Hitter
Adam Retzbach,-inf,Hitter
Aroon Escobar,-inf,Hitter
Derik Alcantara,-inf,Hitter
Omar De Los Santos,-inf,Hitter
Rio Foster,-inf,Hitter
Carlos Colmenarez,-inf,Hitter
Barrett Riebock,-inf,Hitter
Cam Fisher,-inf,Hitter
Kelvin Hidalgo,-inf,Hitter
Christian Olivo,-inf,Hitter
Cristian Garcia,-inf,Hitter
Armando Cruz,-inf,Hitter
Clayton Campbell,-inf,Hitter
Arxy Hernandez,-inf,Hitter
Hedbert Perez,-inf,Hitter
Tai Peete,-inf,Hitter
Hunter Haas,-inf,Hitter
Elio Campos,-inf,Hitter
Beycker Barroso,-inf,Hitter
Enderson Delgado,-inf,Hitter
Malcolm Moore,-inf,Hitter
Luis Pena,-inf,Hitter
Jose De La Cruz,-inf,Hitter
Luis De Leon,-inf,Hitter
Nicolas Deschamps,-inf,Hitter
David Beckles,-inf,Hitter
Newremberg Rondon,-inf,Hitter
Luis Aguilera,-inf,Hitter
Jose Marcano,-inf,Hitter
Javier Mogollon,-inf,Hitter
Erick Peña,-inf,Hitter
Lennyn Nunez,-inf,Hitter
Bjay Cooke,-inf,Hitter
Braylin Morel,-inf,Hitter
Darian Castillo,-inf,Hitter
Ichiro Cano,-inf,Hitter
Jose Caguana,-inf,Hitter
Alexis Hernandez,-inf,Hitter
Felix Morrobel,-inf,Hitter
Mario Baez,-inf,Hitter
Jose D. Hernandez,-inf,Hitter
Jarol Capellan,-inf,Hitter
Nathaniel Ochoa Leyva,-inf,Hitter
Walker Martin,-inf,Hitter
Ricardo Hurtado,-inf,Hitter
Enyervert Perez,-inf,Hitter
Hector Salas,-inf,Hitter
Leny Carela,-inf,Hitter
Sandy Sanchez,-inf,Hitter
Jose Anderson,-inf,Hitter
Jose Aular,-inf,Hitter
Javier Rivas,-inf,Hitter
Vladi Gomez,-inf,Hitter
Oliver Tejada,-inf,Hitter
Ricson Gonzalez,-inf,Hitter
Isaiah Drake,-inf,Hitter
Yilber Herrera,-inf,Hitter
Anthuan Valencia,-inf,Hitter
Colin Houck,-inf,Hitter
Jaeden Calderon,-inf,Hitter
Raudy De Los Santos,-inf,Hitter
Michael Guzman,-inf,Hitter
Logan Glass,-inf,Hitter
Jhonayker Ugarte,-inf,Hitter
Elijah Green,-inf,Hitter
Darison Garcia,-inf,Hitter
Efren Teran,-inf,Hitter
Michell Ojeda,-inf,Hitter
Yeral Martinez,-inf,Hitter
Luis Marquez,-inf,Hitter
Carter Johnson,-inf,Hitter
Jordan Sanchez,-inf,Hitter
Braden Barry,-inf,Hitter
Juan Aparicio,-inf,Hitter
Jeffry Rosa,-inf,Hitter
Hector Campusano,-inf,Hitter
Leiker Figueroa,-inf,Hitter
Avery Owusu-Asiedu,-inf,Hitter
Kevin Rivas,-inf,Hitter
Pedro Pineda,-inf,Hitter
Roosbert Tapia,-inf,Hitter
Kevin Novoa,-inf,Hitter
Cruzmel Arias,-inf,Hitter
Cam Magee,-inf,Hitter
Alirio Ferrebus,-inf,Hitter
Anderson Tovar,-inf,Hitter
Iverson Espinoza,-inf,Hitter
Cristian Jauregui,-inf,Hitter
Enddy Azocar,-inf,Hitter
Victor Leal,-inf,Hitter
Jayson Bass,-inf,Hitter
Jorge Julio,-inf,Hitter
Yensi Reyes,-inf,Hitter
Fernando Hernandez,-inf,Hitter
Cleudis Valenzuela,-inf,Hitter
Juan Hernandez,-inf,Hitter
Edward Vargas,-inf,Hitter
Sebastian Baquera,-inf,Hitter
Diosfran Cabeza,-inf,Hitter
Jose Cedeno,-inf,Hitter
Maykel Minoso,-inf,Hitter
Julio Zayas,-inf,Hitter
Dashyll Tejeda,-inf,Hitter
Johan Rodriguez,-inf,Hitter
Carlos Monteverde,-inf,Hitter
Anyelo Gonzalez,-inf,Hitter
Heribert Silva,-inf,Hitter
Givian Sirvania,-inf,Hitter
Raynerd Ortega,-inf,Hitter
Wilian Trinidad,-inf,Hitter
Jhonson Pena,-inf,Hitter
Andy Encarnacion,-inf,Hitter
Jesus Pinto,-inf,Hitter
Joel Mendez,-inf,Hitter
Angel Mata,-inf,Hitter
Abel Lorenzo,-inf,Hitter
Heriberto Rincon,-inf,Hitter
Abraham Cohen,-inf,Hitter
Kelvin Alcantara,-inf,Hitter
Kevin Ereu,-inf,Hitter
Jayden Felicia,-inf,Hitter
Aldo Gaxiola,-inf,Hitter
Branny De Oleo,-inf,Hitter
Jorge Hernandez,-inf,Hitter
Cesar Lugo,-inf,Hitter
Yordalin Pena,-inf,Hitter
Carlos Gutierrez,-inf,Hitter
Rashawn Pinder,-inf,Hitter
Anielson Buten,-inf,Hitter
Jose Dickson,-inf,Hitter
Alfredo Guanchez,-inf,Hitter
Diego Benitez,-inf,Hitter
Elvin Garcia,-inf,Hitter
Miguel Blanco,-inf,Hitter
Rafael Escalante,-inf,Hitter
Pedro Catuy,-inf,Hitter
Pedro Roque,-inf,Hitter
Roni Cabrera,-inf,Hitter
Juan Martinez,-inf,Hitter
Roiner Quintana,-inf,Hitter
Deivis Mosquera,-inf,Hitter
John Estevez,-inf,Hitter
Javier Osorio,-inf,Hitter
Carlos Tirado,-inf,Hitter
Juarlin Soto,-inf,Hitter
Alonso Gallegos,-inf,Hitter
Bryan Acuna,-inf,Hitter
Christopher Paciolla,-inf,Hitter
Brian Sanchez,-inf,Hitter
Jonathan Martinez,-inf,Hitter
Edgar Basabe,-inf,Hitter
Juan Sierra,-inf,Hitter
Victor Torres,-inf,Hitter
Eduardo Beltre,-inf,Hitter
Elias Medina,-inf,Hitter
Kevin Robledo,-inf,Hitter
Roderick Flores,-inf,Hitter
Hayden Alvarez,-inf,Hitter
Yemal Flores,-inf,Hitter
Gabriel Silva,-inf,Hitter
Jonathan Mejia,-inf,Hitter
Yosmar Gimenez,-inf,Hitter
Ewry Espinal,-inf,Hitter
Leandro Alsinois,-inf,Hitter
Maikol Hernández,-inf,Hitter
Yimy Tovar,-inf,Hitter
Walker Janek,-inf,Hitter
Jose Monserrate,-inf,Hitter
Chandler Pollard,-inf,Hitter
Jose Monzon,-inf,Hitter
TJayy Walton,-inf,Hitter
Ryan Burrowes,-inf,Hitter
Caleb Pendleton,-inf,Hitter
Santiago Camacho,-inf,Hitter
Cole Urman,-inf,Hitter
Jose Serrano,-inf,Hitter
Dariel Ramon,-inf,Hitter
Jorge Lara,-inf,Hitter
Edrick Felix,-inf,Hitter
Joendry Vargas,-inf,Hitter
Carlos Franco,-inf,Hitter
Angel Acosta,-inf,Hitter
Nate Soria,-inf,Hitter
Willy Fanas,-inf,Hitter
Sam Shaw,-inf,Hitter
Omar Reyes,-inf,Hitter
Samil Dishmey,-inf,Hitter
B.Y. Choi,-inf,Hitter
Jesus Fernandez,-inf,Hitter
Jeremy Rodriguez,-inf,Hitter
Bryan Broecker,-inf,Hitter
Kaden Hollow,-inf,Hitter
Nick Schwartz,-inf,Hitter
Sandy Luciano,-inf,Hitter
Daniel Jose Lopez,-inf,Hitter
Keoni Cavaco,-inf,Hitter
Miguel Rodriguez,-inf,Hitter
Nomar Velasquez,-inf,Hitter
Harry Owen,-inf,Hitter
Darlyn De Leon,-inf,Hitter
Ryan Johnson,-inf,Hitter
David Guzman,-inf,Hitter
Darling Fernandez,-inf,Hitter
Lizandro Espinoza,-inf,Hitter
Luis Pino,-inf,Hitter
Carter Trice,-inf,Hitter
Colton Vincent,-inf,Hitter
Chase Valentine,-inf,Hitter
Tommy White,-inf,Hitter
Adam Crampton,-inf,Hitter
Abel Bastidas,-inf,Hitter
Franyer Noria,-inf,Hitter
Josueth Quinonez,-inf,Hitter
Yoiber Ocopio,-inf,Hitter
Maikel Hernandez,-inf,Hitter
Félix Amparo,-inf,Hitter
Darwin De Leon,-inf,Hitter
Abraham Nunez,-inf,Hitter
Luis Lameda,-inf,Hitter
Adrian Gil,-inf,Hitter
Julio Henriquez,-inf,Hitter
Ramon Ramirez,-inf,Hitter
Ryan Reckley,-inf,Hitter
David Leon,-inf,Hitter
Gabriel Gomes,-inf,Hitter
Emil Morales,-inf,Hitter
Ross Friedrick,-inf,Hitter
Edward Florentino,-inf,Hitter
Edgleen Perez,-inf,Hitter
Luis Pineda,-inf,Hitter
Kelvin Diaz,-inf,Hitter
Luiyin Alastre,-inf,Hitter
Neurelin Montero,-inf,Hitter
Ronald Ramirez,-inf,Hitter
Diego Villegas,-inf,Hitter
Mahki Backstrom,-inf,Hitter
Jhonny Level,-inf,Hitter
Jose Camacho,-inf,Hitter
Juan Mateo,-inf,Hitter
Jeremy Almonte,-inf,Hitter
Ilan Fernandez,-inf,Hitter
Merphy Hernandez,-inf,Hitter
Mason Bolivar,-inf,Hitter
Reginald Preciado,-inf,Hitter
Gabriel Lara,-inf,Hitter
Yirer Garcia,-inf,Hitter
Nolan Beltran,-inf,Hitter
Daje Morales,-inf,Hitter
Yojackson Laya,-inf,Hitter
Rabel Colon,-inf,Hitter
Jose Gonzalez,-inf,Hitter
Yosander Asencio,-inf,Hitter
Yeuni Munoz,-inf,Hitter
Diego Guzman,-inf,Hitter
Angel Arevalo,-inf,Hitter
Fran Alduey,-inf,Hitter
Athanael Duarte,-inf,Hitter
Addison Kopack,-inf,Hitter
Logun Clark,-inf,Hitter
Fernando Caldera,-inf,Hitter
Christopher Alvarado,-inf,Hitter
Jakey Josepha,-inf,Hitter
Angel Diaz,-inf,Hitter
Isaias Dipre,-inf,Hitter
Yeycol Soriano,-inf,Hitter
Ben McCabe,-inf,Hitter
Jose Cerice,-inf,Hitter
Yoffry Solano,-inf,Hitter
Darius Perry,-inf,Hitter
JT Mabry,-inf,Hitter
Gabriel Terrero,-inf,Hitter
Emilio Sanchez,-inf,Hitter
Jesus Alexander,-inf,Hitter
Curtis Washington Jr.,-inf,Hitter
Asbel Gonzalez,-inf,Hitter
Roinny Aguiar,-inf,Hitter
Taishi Nakawake,-inf,Hitter
Stiven Flores,-inf,Hitter
Larry Martinez,-inf,Hitter
Danny Cancro,-inf,Hitter
Roldy Brito,-inf,Hitter
Diorland Zambrano,-inf,Hitter
Kendrick Herrera,-inf,Hitter
Jose Rodriguez,-inf,Hitter
Santiago Gomez,-inf,Hitter
German Ortiz,-inf,Hitter
Dauri Fernandez,-inf,Hitter
Marcos De La Rosa,-inf,Hitter
Abdias De La Cruz,-inf,Hitter
Nate Rombach,-inf,Hitter
Vincent Perozo,-inf,Hitter
Kevin Guerrero,-inf,Hitter
Armando Sierra,-inf,Hitter
Albert Feliz,-inf,Hitter
Jacob Jenkins-Cowart,-inf,Hitter
Yassel Soler,-inf,Hitter
Moises Polanco,-inf,Hitter
Tyler Rodriguez,-inf,Hitter
Chas McCormick,inf,Hitter
Ceddanne Rafaela,inf,Hitter
Andrew Benintendi,inf,Hitter
Wilyer Abreu,inf,Hitter
Isiah Kiner-Falefa,inf,Hitter
Luke Raley,inf,Hitter
Will Smith,inf,Hitter
Masataka Yoshida,inf,Hitter
MJ Melendez,inf,Hitter
Christian Encarnacion-Strand,inf,Hitter
Michael Conforto,inf,Hitter
Jo Adell,inf,Hitter
Ryan Mountcastle,inf,Hitter
Matt Vierling,inf,Hitter
Jonny DeLuca,inf,Hitter
Mike Yastrzemski,inf,Hitter
Colt Keith,inf,Hitter
Evan Carter,inf,Hitter
Brayan Rocchio,inf,Hitter
Kyle Isbel,inf,Hitter
Michael Massey,inf,Hitter
Geraldo Perdomo,inf,Hitter
Thairo Estrada,inf,Hitter
J.P. Crawford,inf,Hitter
Jose Miranda,inf,Hitter
Kyle Manzardo,inf,Hitter
Gabriel Moreno,inf,Hitter
J.T. Realmuto,inf,Hitter
Jeff McNeil,inf,Hitter
Jeimer Candelario,inf,Hitter
Kerry Carpenter,inf,Hitter
Francisco Alvarez,inf,Hitter
Carlos Correa,inf,Hitter
LaMonte Wade Jr.,inf,Hitter
Heliot Ramos,inf,Hitter
Nathaniel Lowe,inf,Hitter
Jordan Westburg,inf,Hitter
Eugenio Suárez,inf,Hitter
Jacob Young,inf,Hitter
Carlos Santana,inf,Hitter
Alec Bohm,inf,Hitter
Joc Pederson,inf,Hitter
Lourdes Gurriel Jr.,inf,Hitter
Yainer Diaz,inf,Hitter
Jake Fraley,inf,Hitter
Joey Ortiz,inf,Hitter
Josh Jung,inf,Hitter
Christopher Morel,inf,Hitter
Josh Bell,inf,Hitter
Matt Wallner,inf,Hitter
Nolan Jones,inf,Hitter
Alec Burleson,inf,Hitter
Matt Shaw,inf,Hitter
Tyler Soderstrom,inf,Hitter
Victor Scott II,inf,Hitter
Ke'Bryan Hayes,inf,Hitter
Shea Langeliers,inf,Hitter
Jake Cronenworth,inf,Hitter
Brandon Marsh,inf,Hitter
Trevor Larnach,inf,Hitter
Jordan Walker,inf,Hitter
Jarred Kelenic,inf,Hitter
Brendan Donovan,inf,Hitter
Iván Herrera,inf,Hitter
Orlando Arcia,inf,Hitter
Deyvison De Los Santos,inf,Hitter
Dairon Blanco,inf,Hitter
Luis Campusano,inf,Hitter
Mitch Haniger,inf,Hitter
Jake Meyers,inf,Hitter
Heston Kjerstad,inf,Hitter
Gio Urshela,inf,Hitter
Leody Taveras,inf,Hitter
Wilmer Flores,inf,Hitter
Danny Jansen,inf,Hitter
Wenceel Pérez,inf,Hitter
Kristian Campbell,inf,Hitter
Lenyn Sosa,inf,Hitter
DJ LeMahieu,inf,Hitter
Pavin Smith,inf,Hitter
Hunter Renfroe,inf,Hitter
Connor Wong,inf,Hitter
Ernie Clement,inf,Hitter
Hunter Goodman,inf,Hitter
Josh Smith,inf,Hitter
Davis Schneider,inf,Hitter
Richie Palacios,inf,Hitter
Nick Yorke,inf,Hitter
Joey Bart,inf,Hitter
Tyrone Taylor,inf,Hitter
Griffin Conine,inf,Hitter
Garrett Mitchell,inf,Hitter
Jonathan Aranda,inf,Hitter
Jhonkensy Noel,inf,Hitter
Jonah Bride,inf,Hitter
Anthony Rendon,inf,Hitter
Edouard Julien,inf,Hitter
Jordan Beck,inf,Hitter
Andrew McCutchen,inf,Hitter
Spencer Horwitz,inf,Hitter
Logan O'Hoppe,inf,Hitter
Max Kepler,inf,Hitter
Starling Marte,inf,Hitter
Mike Tauchman,inf,Hitter
Brooks Lee,inf,Hitter
Kyle Stowers,inf,Hitter
Austin Wells,inf,Hitter
Otto Lopez,inf,Hitter
Kris Bryant,inf,Hitter
Ryan O'Hearn,inf,Hitter
Brett Baty,inf,Hitter
Nick Gonzales,inf,Hitter
Tyler Stephenson,inf,Hitter
Miguel Vargas,inf,Hitter
Keibert Ruiz,inf,Hitter
Jacob Wilson,inf,Hitter
Tirso Ornelas,inf,Hitter
Sal Frelick,inf,Hitter
Bo Naylor,inf,Hitter
Jose Siri,inf,Hitter
Ryan Jeffers,inf,Hitter
Jackson Holliday,inf,Hitter
Sean Murphy,inf,Hitter
José Caballero,inf,Hitter
Alejandro Kirk,inf,Hitter
Eguy Rosario,inf,Hitter
Patrick Bailey,inf,Hitter
Hyeseong Kim,inf,Hitter
Gavin Lux,inf,Hitter
Connor Norby,inf,Hitter
Dylan Crews,inf,Hitter
Nolan Schanuel,inf,Hitter
Anthony Volpe,inf,Hitter
Matt Olson,inf,Hitter
Randy Arozarena,inf,Hitter
Manny Machado,inf,Hitter
Austin Riley,inf,Hitter
Christian Walker,inf,Hitter
James Wood,inf,Hitter
Teoscar Hernández,inf,Hitter
Mike Trout,inf,Hitter
Jackson Merrill,inf,Hitter
Wyatt Langford,inf,Hitter
Matt McLain,inf,Hitter
Ozzie Albies,inf,Hitter
Marcus Semien,inf,Hitter
Willy Adames,inf,Hitter
Ian Happ,inf,Hitter
William Contreras,inf,Hitter
Marcell Ozuna,inf,Hitter
Steven Kwan,inf,Hitter
Bryan Reynolds,inf,Hitter
Mark Vientos,inf,Hitter
Seiya Suzuki,inf,Hitter
Lane Thomas,inf,Hitter
Zach Neto,inf,Hitter
George Springer,inf,Hitter
Taylor Ward,inf,Hitter
Corey Seager,inf,Hitter
Triston Casas,inf,Hitter
Xavier Edwards,inf,Hitter
Christian Yelich,inf,Hitter
Luis Rengifo,inf,Hitter
Jose Altuve,inf,Hitter
Rafael Devers,inf,Hitter
Ronald Acuña Jr.,inf,Hitter
Sam Hilliard,inf,Hitter
Bobby Witt Jr.,inf,Hitter
Aaron Judge,inf,Hitter
Corbin Carroll,inf,Hitter
Fernando Tatis Jr.,inf,Hitter
José Ramírez,inf,Hitter
Juan Soto,inf,Hitter
Kyle Tucker,inf,Hitter
Gunnar Henderson,inf,Hitter
Julio Rodríguez,inf,Hitter
Jazz Chisholm Jr.,inf,Hitter
Mookie Betts,inf,Hitter
Jackson Chourio,inf,Hitter
Kyle Schwarber,inf,Hitter
Francisco Lindor,inf,Hitter
CJ Abrams,inf,Hitter
Bryce Harper,inf,Hitter
Luis Robert Jr.,inf,Hitter
Vladimir Guerrero Jr.,inf,Hitter
Yordan Alvarez,inf,Hitter
Jarren Duran,inf,Hitter
Michael Harris II,inf,Hitter
Trea Turner,inf,Hitter
Brenton Doyle,inf,Hitter
Oneil Cruz,inf,Hitter
Lawrence Butler,inf,Hitter
Freddie Freeman,inf,Hitter
Brent Rooker,inf,Hitter
Ketel Marte,inf,Hitter
Max Muncy,inf,Hitter
Victor Robles,inf,Hitter
Bryson Stott,inf,Hitter
Jonathan India,inf,Hitter
Jorge Soler,inf,Hitter
JJ Bleday,inf,Hitter
Ryan McMahon,inf,Hitter
Royce Lewis,inf,Hitter
Nico Hoerner,inf,Hitter
Gleyber Torres,inf,Hitter
Maikel Garcia,inf,Hitter
Tyler Fitzgerald,inf,Hitter
Michael Toglia,inf,Hitter
Nick Castellanos,inf,Hitter
Salvador Perez,inf,Hitter
Jake Burger,inf,Hitter
Jesús Sánchez,inf,Hitter
Adley Rutschman,inf,Hitter
Brandon Lowe,inf,Hitter
Tyler O'Neill,inf,Hitter
Nolan Arenado,inf,Hitter
Colton Cowser,inf,Hitter
Luis García Jr.,inf,Hitter
Giancarlo Stanton,inf,Hitter
Daulton Varsho,inf,Hitter
Josh Lowe,inf,Hitter
Luis Arraez,inf,Hitter
Tommy Edman,inf,Hitter
Andrew Vaughn,inf,Hitter
Rhys Hoskins,inf,Hitter
Michael Busch,inf,Hitter
Lars Nootbaar,inf,Hitter
Jasson Domínguez,inf,Hitter
Junior Caminero,inf,Hitter
Jeremy Peña,inf,Hitter
Pete Crow-Armstrong,inf,Hitter
Matt Chapman,inf,Hitter
Adolis García,inf,Hitter
Riley Greene,inf,Hitter
Josh Naylor,inf,Hitter
Spencer Steer,inf,Hitter
Brice Turang,inf,Hitter
Cedric Mullins,inf,Hitter
Vinnie Pasquantino,inf,Hitter
Paul Goldschmidt,inf,Hitter
Masyn Winn,inf,Hitter
Jake McCarthy,inf,Hitter
Ezequiel Tovar,inf,Hitter
TJ Friedl,inf,Hitter
Willi Castro,inf,Hitter
Andrés Giménez,inf,Hitter
Yandy Díaz,inf,Hitter
Willson Contreras,inf,Hitter
Jung Hoo Lee,inf,Hitter
Parker Meadows,inf,Hitter
Bo Bichette,inf,Hitter
Byron Buxton,inf,Hitter
Isaac Paredes,inf,Hitter
Cody Bellinger,inf,Hitter
Zack Gelof,inf,Hitter
Dansby Swanson,inf,Hitter
Trevor Story,inf,Hitter
Xander Bogaerts,inf,Hitter
Dylan Moore,inf,Hitter
Cal Raleigh,inf,Hitter
Brandon Nimmo,inf,Hitter
Caleb Durbin,inf,Hitter
Weston Wilson,inf,Hitter
Josh Rojas,inf,Hitter
Daz Cameron,inf,Hitter
Mike Brosseau,inf,Hitter
Austin Hedges,inf,Hitter
Dominic Canzone,inf,Hitter
Leo Jiménez,inf,Hitter
Cal Stevenson,inf,Hitter
Luken Baker,inf,Hitter
Kameron Misner,inf,Hitter
Greg Jones,inf,Hitter
Joey Wiemer,inf,Hitter
José Fermín,inf,Hitter
Dominic Fletcher,inf,Hitter
Kyle McCann,inf,Hitter
Owen Caissie,inf,Hitter
Colby Thomas,inf,Hitter
Bryan Ramos,inf,Hitter
Carlos D. Rodriguez,inf,Hitter
Nick Maton,inf,Hitter
Scott Kingery,inf,Hitter
Trey Lipscomb,inf,Hitter
Michael Helman,inf,Hitter
Curtis Mead,inf,Hitter
Emmanuel Rodriguez,inf,Hitter
Jorge Barrosa,inf,Hitter
Max Acosta,inf,Hitter
Jose Herrera,inf,Hitter
Oscar Gonzalez,inf,Hitter
Travis Bazzana,inf,Hitter
Michael Stefanic,inf,Hitter
Eric Haase,inf,Hitter
Nick Sogard,inf,Hitter
Garrett Stubbs,inf,Hitter
James Outman,inf,Hitter
Payton Eeles,inf,Hitter
Liam Hicks,inf,Hitter
Vidal Bruján,inf,Hitter
Brett Wisely,inf,Hitter
Alexander Canario,inf,Hitter
Gabriel Arias,inf,Hitter
Luis Torrens,inf,Hitter
Brock Wilken,inf,Hitter
Nick Senzel,inf,Hitter
Matt Thaiss,inf,Hitter
Cooper Bowman,inf,Hitter
Graham Pauley,inf,Hitter
Edmundo Sosa,inf,Hitter
Alex Jackson,inf,Hitter
Austin Barnes,inf,Hitter
Luis Matos,inf,Hitter
Romy Gonzalez,inf,Hitter
Eric Wagaman,inf,Hitter
Justyn-Henry Malloy,inf,Hitter
Eli White,inf,Hitter
Nick Allen,inf,Hitter
Juan Yepez,inf,Hitter
Marco Luciano,inf,Hitter
Jared Young,inf,Hitter
Drew Waters,inf,Hitter
Riley Adams,inf,Hitter
Jon Singleton,inf,Hitter
Jared Serna,inf,Hitter
Nick Dunn,inf,Hitter
Jakob Marsee,inf,Hitter
Nick Loftin,inf,Hitter
Bryce Eldridge,inf,Hitter
Nick Pratto,inf,Hitter
Tim Elko,inf,Hitter
Phil Clarke,inf,Hitter
Tre' Morgan,inf,Hitter
Bryan Torres,inf,Hitter
Emmanuel Rivera,inf,Hitter
Matt Koperniak,inf,Hitter
Javier Vaz,inf,Hitter
Quincy Hamilton,inf,Hitter
Buddy Kennedy,inf,Hitter
Ryan Noda,inf,Hitter
Jhonny Pereda,inf,Hitter
Jorbit Vivas,inf,Hitter
Zach Dezenzo,inf,Hitter
Austin Gauthier,inf,Hitter
Jimmy Crooks,inf,Hitter
Rikuu Nishida,inf,Hitter
Carlos Mendoza,inf,Hitter
Mark Mathias,inf,Hitter
Cooper Hummel,inf,Hitter
Luis De Los Santos,inf,Hitter
Darren Baker,inf,Hitter
Rafael Lantigua,inf,Hitter
Aaron Schunk,inf,Hitter
River Town,inf,Hitter
Liover Peguero,inf,Hitter
Noah Mendlinger,inf,Hitter
J.C. Escarra,inf,Hitter
RJ Schreck,inf,Hitter
Elly De La Cruz,inf,Hitter
Jason Delay,inf,Hitter
Trenton Brooks,inf,Hitter
Luis Vazquez,inf,Hitter
Tim Tawa,inf,Hitter
Drew Millas,inf,Hitter
Zac Veen,inf,Hitter
Jacob Hurtubise,inf,Hitter
Nasim Nuñez,inf,Hitter
Henry Davis,inf,Hitter
DaShawn Keirsey Jr.,inf,Hitter
Luke Williams,inf,Hitter
Max Muncy,inf,Hitter
Dustin Harris,inf,Hitter
Jonathon Long,inf,Hitter
Isaac Collins,inf,Hitter
Marcelo Mayer,inf,Hitter
Mickey Gasper,inf,Hitter
Tyler Gentry,inf,Hitter
Andrés Chaparro,inf,Hitter
Wander Franco,inf,Hitter
Nacho Alvarez Jr.,inf,Hitter
Moises Ballesteros,inf,Hitter
Chadwick Tromp,inf,Hitter
Adael Amador,inf,Hitter
Ji Hwan Bae,inf,Hitter
Cavan Biggio,inf,Hitter
Brett Harris,inf,Hitter
Ben Rice,inf,Hitter
Gustavo Campero,inf,Hitter
Wade Meckler,inf,Hitter
Niko Kavadas,inf,Hitter
Cooper Ingle,inf,Hitter
Rafael Marchán,inf,Hitter
Enmanuel Valdez,inf,Hitter
Ildemaro Vargas,inf,Hitter
Darell Hernaiz,inf,Hitter
Leo Rivas,inf,Hitter
Javier Báez,inf,Hitter
Oswald Peraza,inf,Hitter
Jonah Heim,inf,Hitter
Will Benson,inf,Hitter
Endy Rodríguez,inf,Hitter
Luisangel Acuña,inf,Hitter
Mauricio Dubón,inf,Hitter
Austin Slater,inf,Hitter
Travis d'Arnaud,inf,Hitter
Carson Kelly,inf,Hitter
Juan Brito,inf,Hitter
Freddy Fermin,inf,Hitter
Jack Suwinski,inf,Hitter
Nolan Gorman,inf,Hitter
Will Brennan,inf,Hitter
Jerar Encarnacion,inf,Hitter
Gary Sánchez,inf,Hitter
Kyle Farmer,inf,Hitter
Jacob Stallings,inf,Hitter
Dane Myers,inf,Hitter
Ramón Urías,inf,Hitter
Chris Taylor,inf,Hitter
Bryan De La Cruz,inf,Hitter
Zach DeLoach,inf,Hitter
Cole Young,inf,Hitter
Jose Trevino,inf,Hitter
Noelvi Marte,inf,Hitter
Tyler Black,inf,Hitter
Christian Vázquez,inf,Hitter
Brooks Baldwin,inf,Hitter
Christian Moore,inf,Hitter
Miguel Amaya,inf,Hitter
Jordan Lawlar,inf,Hitter
Seth Brown,inf,Hitter
Johan Rojas,inf,Hitter
Alek Thomas,inf,Hitter
José Tena,inf,Hitter
Andy Pages,inf,Hitter
Miguel Andujar,inf,Hitter
Colson Montgomery,inf,Hitter
Ryan Bliss,inf,Hitter
Jake Rogers,inf,Hitter
Joey Loperfido,inf,Hitter
Oswaldo Cabrera,inf,Hitter
Billy Cook,inf,Hitter
Trey Sweeney,inf,Hitter
Roman Anthony,inf,Hitter
Taylor Walls,inf,Hitter
Thomas Saggese,inf,Hitter
Jace Jung,inf,Hitter
Mickey Moniak,inf,Hitter
Mitch Garver,inf,Hitter
Alex Call,inf,Hitter
Rob Refsnyder,inf,Hitter
Joshua Palacios,inf,Hitter
David Hamilton,inf,Hitter
Nick Fortes,inf,Hitter
Ty France,inf,Hitter
Stuart Fairchild,inf,Hitter
Kyle Higashioka,inf,Hitter
Taylor Trammell,inf,Hitter
Derek Hill,inf,Hitter
Will Wagner,inf,Hitter
Oliver Dunn,inf,Hitter
Addison Barger,inf,Hitter
Chase Meidroth,inf,Hitter
Pedro León,inf,Hitter
Tom Murphy,inf,Hitter
Luke Keaschall,inf,Hitter
Ezequiel Duran,inf,Hitter
Michael Siani,inf,Hitter
Javier Sanoja,inf,Hitter
Brady House,inf,Hitter
Kyle Teel,inf,Hitter
Ronny Mauricio,inf,Hitter
Alan Roden,inf,Hitter
Tyler Freeman,inf,Hitter
Jonatan Clase,inf,Hitter
Edgar Quero,inf,Hitter
Brandon Lockridge,inf,Hitter
Chandler Simpson,inf,Hitter
Jorge Mateo,inf,Hitter
Jared Triolo,inf,Hitter
Coby Mayo,inf,Hitter
Andruw Monasterio,inf,Hitter
Nelson Velázquez,inf,Hitter
Korey Lee,inf,Hitter
Tyler Heineman,inf,Hitter
Blaze Alexander,inf,Hitter
Shay Whitcomb,inf,Hitter
Adrian Del Castillo,inf,Hitter
Drake Baldwin,inf,Hitter
Max Schuemann,inf,Hitter
Daniel Schneemann,inf,Hitter
Gage Workman,inf,Hitter
