Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId,HR_z,R_z,RBI_z,SB_z,total_z,HR_contribution,R_contribution,RBI_contribution,SB_contribution,value_above_replacement,dollar_value,Position,W,L,QS,ERA,GS,SV,HLD,IP,TBF,ER,K/9,BB/9,K/BB,HR/9,K-BB%,WHIP,LOB%,GB%,HR/FB,FIP,RA9-WAR,SV_z,ERA_z,WHIP_z,SV_contribution,ERA_contribution,WHIP_contribution
Brennon McNair,KCR,0.25,1.0,0.9171,0.1467,0.1044,0.0246,0.0024,0.0153,0.0773,0.0717,0.063,0.0,0.3634,0.01,0.007,0.0029,,0.0148,0.0042,0.159961,0.063,0.3634,0.173363,0.220339,0.242067,0.209309,0.462406,0.0821066,4.54978,0.240924,0.0,-0.000141143,0.0357917,-0.0811864,26.5542,-0.000141143,0.0,-0.0841785209922818,-0.0120000001043081,-0.00649028,999.0,,,,sa3017405,-0.3775718467214955,-0.3246877977206316,-0.325091727919205,-0.1863865618723705,-1.2137379342337027,-0.181,-0.156,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle DeBarge,MIN,0.25,1.0,0.9363,0.162,0.1252,0.0246,0.0032,0.0089,0.0732,0.0667,0.0438,0.0,0.2707,0.01,0.007,0.0029,,0.0252,0.007,0.173021,0.0438,0.2707,0.161803,0.216428,0.23454,0.202552,0.450968,0.0615187,5.16719,0.230677,0.0,0.000792212,0.0303534,-0.0866247,26.9459,0.000792212,0.0,-0.0827970443060621,0.0040000001899898,-0.00469516,999.0,,,,sa3025260,-0.37912979655631757,-0.32491821060966675,-0.32538216669767533,-0.1843134287060558,-1.2137436025697153,-0.182,-0.156,-0.156,-0.088,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronny Ugarte,COL,0.25,1.0,0.939,0.1706,0.1267,0.0242,0.0021,0.0177,0.0778,0.0782,0.0411,0.0,0.2806,0.01,0.007,0.0029,,0.0098,0.0027,0.181683,0.0411,0.2806,0.146472,0.222345,0.268584,0.217844,0.490928,0.086901,3.84805,0.236066,0.0,-0.00053679,0.0426614,-0.0743167,23.1856,-0.00053679,0.0,-0.0923920253408141,-0.0209999997168779,-0.00827162,999.0,,,,sa3018460,-0.37698761553343724,-0.32465969858782245,-0.3247141575071935,-0.18738326051002174,-1.213744732138475,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Hall,MIL,0.25,1.0,0.8996,0.1918,0.1446,0.0365,0.003,0.0078,0.0888,0.075,0.0725,0.0,0.2902,0.018,0.007,0.0029,,0.0197,0.005,0.213206,0.0725,0.2902,0.249828,0.283121,0.286572,0.257712,0.569693,0.0733659,4.6993,0.302333,0.0,5.94596e-05,0.0747495,-0.0422285,62.7524,5.94596e-05,0.0,-0.0444815156806726,-0.0120000001043081,-0.00239403,999.0,,,,sa3005077,-0.37939756918417766,-0.3240415176660208,-0.3249000383254145,-0.18540979720747222,-1.213748922383085,-0.182,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jay Harry,TOR,0.25,1.0,0.9202,0.176,0.1245,0.0348,0.0017,0.015,0.0844,0.0803,0.0559,0.0,0.2374,0.014,0.007,0.0029,,0.0106,0.003,0.191263,0.0559,0.2374,0.235468,0.246615,0.281678,0.236165,0.528293,0.0904151,3.94244,0.238589,0.0,-0.000629306,0.0574068,-0.0595712,51.2618,-0.000629306,0.0,-0.0563960749423131,0.0040000001899898,-0.00196853,999.0,,,,sa3022607,-0.3776448756200028,-0.3242887900347415,-0.3245921732202359,-0.18722378872799755,-1.2137496276029778,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Naranjo,WSN,0.25,1.0,0.891,0.1792,0.1244,0.0365,0.0017,0.0166,0.0909,0.0824,0.0901,0.0,0.2881,0.009,0.007,0.0029,,0.0062,0.0017,0.201122,0.0901,0.2881,0.312739,0.279109,0.301796,0.261529,0.580905,0.100673,3.26006,0.27406,0.0,-0.00121247,0.0778218,-0.0391562,66.0575,-0.00121247,0.0,-0.0418011627625674,-0.0209999997168779,-0.00304671,999.0,,,,sa3010025,-0.3772553881612973,-0.32392350130822223,-0.3244701889332784,-0.1881008835291307,-1.2137499619319285,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kai Murphy,SDP,0.25,1.0,0.9074,0.1756,0.1272,0.0329,0.0017,0.0137,0.0867,0.078,0.0727,0.001,0.2778,0.01,0.007,0.0029,,0.0122,0.0036,0.19352,0.0727,0.2778,0.261699,0.259051,0.278708,0.241763,0.53776,0.0851885,3.95494,0.259913,0.0,-0.00066675,0.0619126,-0.0550655,56.0664,-0.00066675,0.0,-0.0532029285677708,-0.0120000001043081,-0.00329476,999.0,,,,sa3019857,-0.377961334180201,-0.32415953402381925,-0.3247257750583323,-0.18690484516394917,-1.2137514884263019,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pierce Bennett,PHI,0.25,1.0,0.8977,0.1774,0.1338,0.0275,0.0035,0.0126,0.0892,0.0777,0.0804,0.002,0.2231,0.012,0.007,0.0029,,0.0129,0.0036,0.197616,0.0804,0.2231,0.360376,0.270585,0.278155,0.247744,0.54874,0.0805392,4.24623,0.246338,0.0,-0.000647504,0.0667266,-0.0502515,55.8257,-0.000647504,0.0,-0.0534714051755145,-0.0120000001043081,-0.00332249,999.0,,,,sa3022816,-0.3782291068080611,-0.3240190383597734,-0.3247432013850405,-0.18676530735467797,-1.213756653907553,-0.181,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Papierski,,0.25,1.0,0.8691,0.1803,0.1254,0.037,0.0017,0.0162,0.0973,0.0836,0.111,0.001,0.2451,0.01,0.007,0.0029,,0.0045,0.0014,0.207456,0.111,0.2451,0.452876,0.302176,0.309861,0.276974,0.612037,0.102405,2.98571,0.266916,-0.001,-0.00160381,0.0902527,-0.0267254,77.214,-0.00260381,-0.003,-0.0292636670637875,0.0179999996908009,0.00206087,999.0,,,,21386,-0.3773527600259736,-0.323563832408265,-0.3244004836264455,-0.18843976106593213,-1.2137568371266163,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Schultz,,0.25,1.0,0.9231,0.1509,0.1115,0.0213,0.0021,0.0161,0.0761,0.0729,0.055,0.0,0.3498,0.012,0.007,0.0029,,0.0137,0.0038,0.163471,0.055,0.3498,0.157233,0.218534,0.243527,0.208517,0.462061,0.0800563,4.21433,0.238922,0.0,-0.000207822,0.0351545,-0.0818236,30.1218,-0.000207822,0.0,-0.0819659260159824,-0.0120000001043081,-0.00626355,999.0,,,,sa3016958,-0.3773771029921427,-0.3247552356393736,-0.32502202261237206,-0.18660583557265376,-1.2137601968165423,-0.181,-0.156,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyler Castillo,,0.25,1.0,0.9041,0.1887,0.1441,0.0289,0.0028,0.0129,0.0885,0.0791,0.075,0.0,0.2568,0.011,0.007,0.0029,,0.0123,0.0035,0.208716,0.075,0.2568,0.292056,0.275499,0.28968,0.254545,0.565179,0.0809645,4.11731,0.274088,0.0,-0.000773569,0.0722003,-0.0447778,61.7847,-0.000773569,0.0,-0.0454858515877276,-0.0120000001043081,-0.00249597,999.0,,,,sa3017373,-0.3781560779095538,-0.3240583771457063,-0.3246618785270688,-0.18688491119119613,-1.2137612447735249,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Tredaway,,0.25,1.0,0.9111,0.1522,0.1137,0.0208,0.002,0.0156,0.079,0.0732,0.067,0.0,0.2861,0.012,0.007,0.0029,,0.0134,0.0037,0.167051,0.067,0.2861,0.234184,0.231872,0.245527,0.21694,0.4774,0.0784766,4.11802,0.221609,0.0,-0.000339394,0.0419336,-0.0750445,35.9159,-0.000339394,0.0,-0.0753183635824825,-0.0120000001043081,-0.00557701,999.0,,,,sa3020197,-0.3774988178229882,-0.3245922606690804,-0.32500459628566386,-0.18666563749091286,-1.2137613122686453,-0.181,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roger Leyton,,0.25,1.0,0.9311,0.1616,0.1203,0.0236,0.0021,0.0157,0.0771,0.0753,0.047,0.0,0.3045,0.012,0.007,0.0029,,0.0132,0.0037,0.173558,0.047,0.3045,0.154351,0.221242,0.254108,0.212841,0.47535,0.0805499,4.18501,0.236122,0.0,-0.000273635,0.0386346,-0.0783435,33.0963,-0.000273635,0.0,-0.0785515879979357,-0.0120000001043081,-0.00591093,999.0,,,,sa3015167,-0.37747447485681906,-0.3246990373737553,-0.32488261199870627,-0.1867055054364189,-1.2137616296656994,-0.181,-0.156,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Dissin,PHI,0.25,1.0,0.8977,0.1578,0.1145,0.0238,0.0016,0.0178,0.0858,0.0786,0.0794,0.0,0.3064,0.013,0.007,0.0029,,0.0072,0.0021,0.175783,0.0794,0.3064,0.259138,0.250928,0.265233,0.234598,0.516161,0.0894508,3.50364,0.241171,0.0,-0.00104346,0.0561462,-0.0608319,46.9779,-0.00104346,0.0,-0.0644477326422929,0.0209999997168779,-0.00104793,999.0,,,,sa3020100,-0.3769632725672681,-0.3242101124628758,-0.32469092240491587,-0.18790154380160043,-1.2137658512366603,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Peete,SEA,0.25,1.0,0.9305,0.1656,0.1268,0.0265,0.0022,0.01,0.0735,0.0675,0.0526,0.001,0.3401,0.007,0.007,0.0029,,0.0234,0.0063,0.177969,0.0526,0.3401,0.15466,0.225855,0.24331,0.210459,0.469165,0.0653412,4.66708,0.264896,0.0,0.000665204,0.0367173,-0.0802608,38.2112,0.000665204,0.0,-0.0700340850162319,0.0120000001043081,-0.00255081,999.0,,,,sa3022966,-0.37886202392845747,-0.32490135112998125,-0.32533569649312005,-0.18467224021561027,-1.213771311767169,-0.181,-0.156,-0.156,-0.088,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Blandino,,0.25,1.0,0.8601,0.161,0.1111,0.0363,0.0034,0.0102,0.092,0.0716,0.117,0.0,0.3225,0.013,0.007,0.0029,,0.0167,0.0046,0.187188,0.117,0.3225,0.362791,0.291846,0.272875,0.260553,0.564722,0.0856877,4.66664,0.282186,-0.001,-0.000425893,0.0770357,-0.0399424,65.9174,-0.00142589,0.002,-0.041302770958282,-0.018999999621883,-0.0027869,999.0,,,,16271,-0.3788133379961194,-0.32386168321604214,-0.32509753669477437,-0.18600781639006297,-1.2137803742969988,-0.181,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Janas,ATL,0.25,1.0,0.9122,0.1915,0.1448,0.0311,0.0019,0.0137,0.0914,0.0822,0.0589,0.0,0.2274,0.019,0.007,0.0029,,0.0095,0.0027,0.209932,0.0589,0.2274,0.259015,0.270184,0.293247,0.252792,0.563431,0.0833151,3.83839,0.262203,0.0,-0.00095116,0.0707895,-0.0461885,58.62,-0.00095116,0.0,-0.0504336432786658,-0.0209999997168779,-0.00393825,999.0,,,,sa3019903,-0.377961334180201,-0.32389540217541307,-0.32448180648441716,-0.18744306242828085,-1.213781605268312,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juan Sierra,HOU,0.25,1.0,0.9261,0.1368,0.0996,0.0163,0.0011,0.0198,0.0742,0.0742,0.053,0.002,0.3438,0.011,0.007,0.0029,,0.0092,0.0026,0.147716,0.053,0.3438,0.154159,0.201384,0.231832,0.194618,0.433216,0.0841162,3.6437,0.205443,0.0,-0.000488432,0.0239679,-0.0930101,22.2345,-0.000488432,0.0,-0.0894685256644152,-0.0120000001043081,-0.00703662,999.0,,,,sa3021146,-0.37647641324388625,-0.32486201234404843,-0.32494650852996976,-0.1875028643465399,-1.2137877984644443,-0.18,-0.156,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adinso Reyes,,0.25,1.0,0.9411,0.1636,0.1208,0.0236,0.0022,0.017,0.076,0.0773,0.04,0.0,0.3105,0.009,0.007,0.0029,,0.0112,0.0032,0.173839,0.04,0.3105,0.128824,0.213218,0.257783,0.20911,0.471002,0.0839443,4.02733,0.236223,0.0,-0.000396154,0.0356317,-0.0813464,30.5297,-0.000396154,0.0,-0.0816770111850928,0.0040000001899898,-0.00458127,999.0,,,,sa3008750,-0.37715801629662093,-0.32476085546593547,-0.3247664364873181,-0.18710418489147942,-1.213789493141354,-0.181,-0.156,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Lasko,ATH,0.25,1.0,0.9022,0.1614,0.12,0.0281,0.0016,0.0118,0.0805,0.069,0.0769,0.0,0.2988,0.011,0.007,0.0029,,0.0187,0.0052,0.178896,0.0769,0.2988,0.257363,0.250025,0.252937,0.229366,0.502962,0.0740412,4.34675,0.249916,0.0,-6.86787e-06,0.0519348,-0.0650433,49.1016,-6.86787e-06,0.0,-0.0582453592855927,0.0040000001899898,-0.00215952,999.0,,,,sa3022539,-0.3784238505374138,-0.32450796327065295,-0.325248564859579,-0.18560913693500247,-1.213789515602648,-0.181,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tony Bullard,MIA,0.25,1.0,0.9221,0.1826,0.1362,0.031,0.0022,0.0132,0.0811,0.0766,0.055,0.0,0.2587,0.013,0.007,0.0029,,0.0146,0.0041,0.198026,0.055,0.2587,0.212601,0.251329,0.279362,0.237483,0.530691,0.0813361,4.11029,0.25776,0.0,-0.000352159,0.0584678,-0.0585103,46.8868,-0.000352159,0.0,-0.0638653259957209,0.0040000001899898,-0.0027435,999.0,,,,sa3022556,-0.3780830490110465,-0.3244742443112819,-0.32480709791630397,-0.18642642981787655,-1.213790821056509,-0.181,-0.155,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Payne,,0.25,1.0,0.9311,0.2129,0.1515,0.0448,0.0026,0.014,0.0915,0.0885,0.049,0.0,0.229,0.01,0.007,0.0029,,0.0072,0.002,0.228654,0.049,0.229,0.213974,0.272691,0.327462,0.264343,0.600153,0.0988079,3.51727,0.286146,-0.001,-0.00103137,0.0800861,-0.036892,68.5246,-0.00203137,0.0,-0.0388578143902123,0.0209999997168779,0.00159672,999.0,,,,21139,-0.3778883052816937,-0.3238897823488513,-0.32411585362354456,-0.18790154380160043,-1.2137954850556902,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Fletcher,ATL,0.26,1.0,0.9277,0.2287,0.181,0.0372,0.004,0.0065,0.0959,0.083,0.0539,0.001,0.1322,0.008,0.0071,0.0032,,0.0167,0.004,0.246524,0.0539,0.1322,0.407716,0.291562,0.316266,0.269312,0.607828,0.0697424,4.56113,0.279111,0.0,-0.000189203,0.0840856,-0.0328925,69.7389,-0.000189203,-0.002,-0.0363756407314213,0.0020000000949949,-0.000110986,999.0,,,,17992,-0.37971402774437585,-0.3236425099801306,-0.32443533627986193,-0.18600781639006297,-1.2137996903944313,-0.182,-0.155,-0.155,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leo Balcazar,CIN,0.25,1.0,0.9458,0.202,0.1543,0.0322,0.0021,0.0134,0.0836,0.0824,0.0353,0.0,0.2601,0.009,0.007,0.0029,,0.0119,0.0034,0.213576,0.0353,0.2601,0.135717,0.247016,0.294565,0.238745,0.541582,0.0809896,3.98262,0.277639,0.0,-0.000564457,0.0594837,-0.0574943,43.8839,-0.000564457,0.0,-0.0676685282378457,0.0120000001043081,-0.00231007,999.0,,,,sa3015798,-0.3780343630787083,-0.32433374864723613,-0.3244701889332784,-0.18696464708220822,-1.213802947741431,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andres Sosa,TOR,0.25,1.0,0.8782,0.1677,0.1115,0.0384,0.0025,0.0153,0.0922,0.0801,0.0909,0.0,0.3012,0.021,0.007,0.0029,,0.0078,0.0022,0.190959,0.0909,0.3012,0.301793,0.280413,0.292644,0.260336,0.573057,0.101685,3.84813,0.26798,0.0,-0.00109418,0.0768616,-0.0401165,68.2645,-0.00109418,0.0,-0.0374061913462355,0.0209999997168779,0.00174842,999.0,,,,sa3017605,-0.3775718467214955,-0.3238504435629184,-0.32460379077137475,-0.1877819399650823,-1.213808021020871,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fraymi De Leon,BOS,0.25,1.0,0.9151,0.1642,0.1267,0.0271,0.0024,0.0079,0.0783,0.0669,0.063,0.0,0.3007,0.012,0.007,0.0029,,0.0246,0.007,0.179434,0.063,0.3007,0.209511,0.239896,0.240083,0.218407,0.479979,0.0606491,5.00968,0.254768,0.0,0.000493053,0.0431143,-0.0738638,31.627,0.000493053,0.0,-0.0777400322258472,0.0040000001899898,-0.00417289,999.0,,,,sa3018436,-0.3793732262180085,-0.3246315994550133,-0.32537054914653646,-0.18443303254257398,-1.2138084073621322,-0.182,-0.155,-0.156,-0.088,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connor Burns,CIN,0.25,1.0,0.9196,0.1445,0.099,0.024,0.0016,0.0199,0.0781,0.0771,0.0625,0.0,0.3779,0.008,0.007,0.0029,,0.007,0.002,0.157134,0.0625,0.3779,0.165388,0.215625,0.251631,0.210169,0.467256,0.0944976,3.56547,0.235628,0.0,-0.000747778,0.0364838,-0.0804942,24.6501,-0.000747778,0.0,-0.0908517473726533,0.0209999997168779,-0.00377488,999.0,,,,sa3022599,-0.37645207027771715,-0.3246428391081369,-0.324778054038457,-0.1879414117471065,-1.2138143751714177,-0.18,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Mann,ATH,0.25,1.0,0.9232,0.1713,0.1225,0.0273,0.0023,0.0192,0.0822,0.0808,0.0549,0.0,0.2964,0.012,0.007,0.0029,,0.0056,0.0016,0.18555,0.0549,0.2964,0.185223,0.238893,0.282496,0.232415,0.521388,0.0969454,3.30586,0.247478,0.0,-0.00102284,0.0543887,-0.0625893,51.2462,-0.00102284,0.0,-0.0568073586327955,0.0040000001899898,-0.00201101,999.0,,,,sa3022529,-0.3766224710409008,-0.32441242621910177,-0.3245631293423889,-0.18822048736564884,-1.2138185139680402,-0.18,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jarrod Belbin,,0.25,1.0,0.9261,0.1578,0.1168,0.0218,0.0025,0.0167,0.0777,0.0757,0.053,0.0,0.3093,0.011,0.007,0.0029,,0.0114,0.0032,0.170392,0.053,0.3093,0.171355,0.222445,0.253428,0.213599,0.475873,0.0830364,4.25827,0.232416,0.0,-0.00044297,0.039245,-0.0777331,33.618,-0.00044297,0.0,-0.0781105345522519,-0.0209999997168779,-0.00679488,999.0,,,,sa3022481,-0.3772310451951282,-0.32466531841438423,-0.32485937689642863,-0.18706431694597336,-1.2138200574519145,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darrien Miller,MIL,0.25,1.0,0.8543,0.1662,0.1125,0.0358,0.0023,0.0155,0.097,0.0809,0.1108,0.001,0.2613,0.025,0.007,0.0029,,0.0059,0.0016,0.194545,0.1108,0.2613,0.424034,0.302878,0.296149,0.274268,0.599027,0.101604,3.5709,0.257827,0.0,-0.00141981,0.088075,-0.0289031,73.8959,-0.00141981,0.0,-0.0326353192795068,0.0209999997168779,0.00223758,999.0,,,,sa3011330,-0.37752316078915726,-0.3235806918879504,-0.3245573205668195,-0.18816068544738976,-1.213821858691317,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemal Flores,PHI,0.25,1.0,0.9279,0.1391,0.098,0.0201,0.0019,0.0192,0.0746,0.0747,0.0502,0.0,0.4009,0.012,0.007,0.0029,,0.0095,0.0027,0.149908,0.0502,0.4009,0.125218,0.201885,0.237849,0.197806,0.439734,0.0879405,3.97298,0.232906,0.0,-0.000457883,0.0265332,-0.0904449,22.2138,-0.000457883,0.0,-0.093475193309132,-0.0120000001043081,-0.00745399,999.0,,,,sa3015717,-0.3766224710409008,-0.32483953303780105,-0.32491746465212273,-0.18744306242828085,-1.2138225311591053,-0.18,-0.156,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braylin Morel,TEX,0.25,1.0,0.9348,0.1483,0.1075,0.0207,0.0021,0.018,0.0745,0.0742,0.0453,0.0,0.3589,0.01,0.007,0.0029,,0.011,0.0031,0.158644,0.0453,0.3589,0.126219,0.204192,0.243047,0.199982,0.447239,0.0844031,4.07565,0.23066,0.0,-0.000340406,0.028285,-0.0886931,24.4797,-0.000340406,0.0,-0.0867515173158608,-0.0120000001043081,-0.00675602,999.0,,,,sa3021229,-0.37691458663492994,-0.32484515286436294,-0.32494650852996976,-0.18714405283698543,-1.2138503008662482,-0.181,-0.156,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osvaldo Tovalin,,0.25,1.0,0.9391,0.1891,0.1398,0.0326,0.0022,0.0146,0.0829,0.082,0.037,0.001,0.2094,0.014,0.007,0.0029,,0.0105,0.0031,0.201363,0.037,0.2094,0.176695,0.240798,0.287509,0.233382,0.528308,0.0861463,3.95114,0.241656,0.0,-0.000653502,0.055167,-0.0618111,47.2264,-0.000653502,0.0,-0.0623990670428611,-0.0209999997168779,-0.00517223,999.0,,,,sa3016927,-0.37774224748467916,-0.3243730874331689,-0.32449342403555603,-0.1872437227007506,-1.2138524816541547,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Thomas,SDP,0.25,1.0,0.8924,0.1756,0.1244,0.0338,0.0018,0.0156,0.0912,0.0811,0.0887,0.001,0.2659,0.009,0.007,0.0029,,0.0072,0.002,0.196773,0.0887,0.2659,0.333584,0.274095,0.291125,0.254833,0.56522,0.0943523,3.44027,0.258942,0.0,-0.00111503,0.0724324,-0.0445457,64.8636,-0.00111503,0.0,-0.0431314255110919,0.0209999997168779,0.00115357,999.0,,,,sa3016953,-0.3774988178229882,-0.3239066418285368,-0.32454570301568064,-0.18790154380160043,-1.213852706468806,-0.181,-0.155,-0.155,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josue Gonzalez,NYY,0.25,1.0,0.9039,0.1525,0.1109,0.0236,0.0015,0.0165,0.0825,0.0751,0.0732,0.0,0.2871,0.013,0.007,0.0029,,0.0103,0.0029,0.168713,0.0732,0.2871,0.254963,0.239394,0.252904,0.224047,0.492298,0.0841907,3.87952,0.223942,0.0,-0.000670115,0.0476535,-0.0693245,41.3834,-0.000670115,0.0,-0.067739809397608,0.0209999997168779,-0.00138436,999.0,,,,sa3017175,-0.3772797311274664,-0.3243955667394163,-0.3248942295498451,-0.18728359064625663,-1.2138531180629843,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max Wright,,0.25,1.0,0.9081,0.1535,0.1099,0.0248,0.0022,0.0166,0.081,0.0754,0.069,0.001,0.3142,0.013,0.007,0.0029,,0.0105,0.003,0.169034,0.069,0.3142,0.219605,0.236185,0.256029,0.222623,0.492214,0.0869948,3.89038,0.234297,0.0,-0.000621683,0.0465078,-0.0704702,39.8255,-0.000621683,0.0,-0.0710263984510675,0.0209999997168779,-0.00172558,999.0,,,,sa3016852,-0.3772553881612973,-0.32447986413784374,-0.3248768032231369,-0.1872437227007506,-1.2138557782230286,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kleimir Lemos,TEX,0.25,1.0,0.9509,0.1571,0.1166,0.0198,0.0016,0.0191,0.0733,0.0771,0.0292,0.0,0.3258,0.01,0.007,0.0029,,0.0091,0.0026,0.165212,0.0292,0.3258,0.0896255,0.196871,0.249658,0.197233,0.446529,0.0844463,3.92985,0.225122,0.0,-0.000462656,0.0260726,-0.0909055,22.5461,-0.000462656,0.0,-0.0890861573279835,0.0040000001899898,-0.00534469,999.0,,,,sa3019096,-0.37664681400706995,-0.3249125907831049,-0.324778054038457,-0.18752279831929297,-1.2138602571479247,-0.18,-0.156,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wady Mendez,TEX,0.25,1.0,0.9227,0.1543,0.1164,0.0235,0.0018,0.0125,0.0756,0.0682,0.0584,0.001,0.3879,0.009,0.007,0.0029,,0.0191,0.0054,0.167227,0.0584,0.3879,0.150554,0.222345,0.23713,0.207439,0.459475,0.0699035,4.51377,0.267901,0.0,0.00019023,0.034287,-0.0826911,29.7252,0.00019023,0.0,-0.0802188717498211,-0.0120000001043081,-0.00608134,999.0,,,,sa3018615,-0.37825344977423014,-0.3247833347721828,-0.3252950350641342,-0.18552940104399038,-1.2138612206545374,-0.181,-0.156,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jose Gerardo,MIA,0.25,1.0,0.9281,0.1167,0.0861,0.015,0.0012,0.0144,0.0627,0.0599,0.051,0.0,0.4554,0.011,0.007,0.0029,,0.0228,0.0063,0.125741,0.051,0.4554,0.111989,0.17922,0.191035,0.169714,0.370255,0.0652947,4.89922,0.219858,0.0,0.000839592,0.00392348,-0.113055,1.27385,0.000839592,0.0,-0.117217882478144,-0.0120000001043081,-0.00990608,999.0,,,,sa3018645,-0.37779093341701736,-0.32550829239865925,-0.325777163436395,-0.18479184405212842,-1.2138682333042,-0.181,-0.156,-0.156,-0.089,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Albertus,CHW,0.25,1.0,0.8936,0.1646,0.124,0.0231,0.0015,0.016,0.0825,0.0748,0.0865,0.001,0.2699,0.01,0.007,0.0029,,0.0109,0.0031,0.184199,0.0865,0.2699,0.320489,0.261859,0.267122,0.240549,0.528981,0.082923,3.66131,0.241744,0.0,-0.000807907,0.0609358,-0.0560423,52.4867,-0.000807907,0.0,-0.0551731092855334,0.0040000001899898,-0.00184223,999.0,,,,sa3018950,-0.3774014459583119,-0.3243955667394163,-0.32491165587655335,-0.18716398680973848,-1.21387265538402,-0.181,-0.155,-0.156,-0.09,0.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,
